<sil>	SIL	sil
散歩	サンポ	s a ng p o
数学	スウガク	s u long g a k u
文化	ブンカ	b u ng k a
文章	ブンショウ	b u ng sh o u
斑	フ	f u
斗	ト	t o
料理	リョウリ	r y o long r i
斬	キ	k i
新しい	アタラシイ	a t a r a sh i i
新幹線	シンカンセン	sh i ng k a ng s e ng
新潟	ニイガタ	n i i g a t a
新聞	シンブン	sh i ng b u ng
方向	ホウコウ	h o u k o u
方法	ホウホウ	h o u h o u
於い	オイ	o i
旅行	リョコウ	r y o k o long
旗	キ	k i
既に	スデニ	s u d e n i
日	ヒ	h i
日常	ニチジョウ	n i ch i j o u
日本	ニッポン	n i q p o ng
日本人	ニッポンジン	n i q p o ng j i ng
日本語	ニッポンゴ	n i q p o ng g o
日本語	ニホンゴ	n i h o ng g o
早く	ハヤク	h a y a k u
明らか	アキラカ	a k i r a k a
明日	アケビ	a k e b i
昔	ムカシ	m u k a sh i
星	ホシ	h o sh i
映画	エイガ	e i g a
映画館	エイガカン	e i g a k a ng
昨日	キノウ	k i n o long
是	ゼ	z e
昼	ヒル	h i r u
時	ジ	j i
時代	ジダイ	j i d a i
時計	トケイ	t o k e i
時間	ジカン	j i k a ng
晩	バン	b a ng
普通	フツウ	f u ts u u
晴れ	ハレ	h a r e
暇	イトマ	i t o m a
暑い	アツイ	a ts u i
暖かく	アタタカク	a t a t a k a k u
更新	コウシン	k o long sh i ng
書	カキ	k a k i
書い	カイ	k a i
書く	カク	k a k u
書類	ショルイ	sh o r u i
曽	ソ	s o
最も	モットモ	m o q t o m o
最初	サイショ	s a i sh o
最大	サイダイ	s a i d a i
最後	サイゴ	s a i g o
最高	サイコウ	s a i k o u
月	ガツ	g a ts u
月曜日	ゲツヨウビ	g e ts u y o long b i
有	ア	a
有する	ユウスル	y u u s u r u
有名	ユウメイ	y u long m e i
有給	ユウキュウ	y u long k y u long
服	フク	f u k u
朝	アサ	a s a
朝	チョウ	ch o long
期	キ	k i
木	キ	k i
未来	ミライ	m i r a i
本	ホン	h o ng
本	モト	m o t o
本件	ホンケン	h o ng k e ng
本当に	ホントウニ	h o ng t o u n i
本能	ホンノウ	h o ng n o u
李	イ	i
杏	アン	a ng
材料	ザイリョウ	z a i r y o long
村	ムラ	m u r a
村長	ソンチョウ	s o ng ch o u
来	キ	k i
来る	キタル	k i t a r u
来週	ライシュウ	r a i sh u long
東	ヒガシ	h i g a sh i
東京	トウキョウ	t o long k y o long
杼	ヒ	h i
林	ハヤシ	h a y a sh i
架	カ	k a
柄	エ	e
栄	エイ	e i
校庭	コウテイ	k o long t e i
根	ネ	n e
案	アン	a ng
桜	サクラ	s a k u r a
梅雨	ツユ	ts u y u
梱	コ	k o
森	モリ	m o r i
植	ウエ	u e
検査	ケンサ	k e ng s a
検討	ケントウ	k e ng t o long
業務	ギョウム	g y o long m u
楽しい	タノシイ	t a n o sh i i
楽しみ	タノシミ	t a n o sh i m i
概念	ガイネン	g a i n e ng
構造	コウゾウ	k o u z o u
様子	ヨウス	y o u s u
様式	ヨウシキ	y o u sh i k i
横浜	ヨコハマ	y o k o h a m a
機	キ	k i
機械	キカイ	k i k a i
欠席	ケッセキ	k e q s e k i
次	ジ	j i
欧	オウ	o long
止まる	トマル	t o m a r u
正しい	タダシイ	t a d a sh i i
歩い	アルイ	a r u i
歩き	アルキ	a r u k i
歩く	アルク	a r u k u
歯	シ	sh i
歯医者	ハイシャ	h a i sh a
歴	ヘ	h e
歴史	レキシ	r e k i sh i
死	シ	sh i
残っ	ノコッ	n o k o q
残業	ザンギョウ	z a ng g y o long
殷	イン	i ng
殺	ヤ	y a
母親	ハハオヤ	h a h a o y a
毎日	マイニチ	m a i n i ch i
毎晩	マイバン	m a i b a ng
毎朝	マイアサ	m a i a s a
比	ヒ	h i
比較	ヒカク	h i k a k u
毛	ケ	k e
気	キ	k i
気づい	キヅイ	k i z u i
気持ち	キモチ	k i m o ch i
気温	キオン	k i o ng
水	スイ	s u i
水族館	スイゾクカン	s u i z o k u k a ng
水泳	スイエイ	s u i e i
永	エイ	e i
求め	モトメ	m o t o m e
江	エ	e
江井	エイ	e i
決める	キメル	k i m e r u
決定	ケッテイ	k e q t e i
沖縄	オキナワ	o k i n a w a
治る	ナオル	n a o r u
法律	ホウリツ	h o u r i ts u
泣い	ナイ	n a i
泣く	ナク	n a k u
注射	チュウシャ	ch u long sh a
注意	チュウイ	ch u u i
注文	チュウモン	ch u u m o ng
泳ぎ	オヨギ	o y o g i
泳ぐ	オヨグ	o y o g u
洗う	アラウ	a r a u
洗濯	センタク	s e ng t a k u
津	ツ	ts u
洩	モ	m o
派	ハ	h a
流れ	ナガレ	n a g a r e
浮い	ウイ	u i
海	ウミ	u m i
海	カイ	k a i
海布	メ	m e
涼しく	スズシク	s u z u sh i k u
渋滞	ジュウタイ	j u long t a i
渡	ド	d o
渡る	ワタル	w a t a r u
温泉	オンセン	o ng s e ng
測る	ハカル	h a k a r u
測定	ソクテイ	s o k u t e i
湖	コ	k o
湯	ユ	y u
満足	マンゾク	m a ng z o k u
準備	ジュンビ	j u ng b i
漏	モ	m o
濃	コ	k o
瀬	セ	s e
火	カ	k a
炉	ロ	r o
炊く	タク	t a k u
炎	エン	e ng
炒	イ	i
炒める	イタメル	i t a m e r u
無	ナ	n a
無限	ムゲン	m u g e ng
焼く	ヤク	y a k u
煉	ネ	n e
煎	イ	i
煎っ	イッ	i q
煎ん	イン	i ng
煮	ニ	n i
煮る	ニル	n i r u
煽	アオ	a o
熊本	クマモト	k u m a m o t o
熟ん	ウン	u ng
熬	イ	i
熬っ	イッ	i q
熬ん	イン	i ng
熱	アツ	a ts u
父	チチ	ch i ch i
片付ける	カタヅケル	k a t a z u k e r u
物事	モノゴト	m o n o g o t o
物理	ブツリ	b u ts u r i
物質	ブッシツ	b u q sh i ts u
特に	トクニ	t o k u n i
特殊	トクシュ	t o k u sh u
犬	イヌ	i n u
犬	ケン	k e ng
状態	ジョウタイ	j o u t a i
状況	ジョウキョウ	j o u k y o u
狩	カ	k a
独立	ドクリツ	d o k u r i ts u
狭い	セマイ	s e m a i
猫	ネコ	n e k o
獲	エ	e
玄関	ゲンカン	g e ng k a ng
王	オウ	o long
現在	ゲンザイ	g e ng z a i
現実	ゲンジツ	g e ng j i ts u
現象	ゲンショウ	g e ng sh o u
理由	リユウ	r i y u u
理論	リロン	r i r o ng
環境	カンキョウ	k a ng k y o u
甕	ウ	u
生まれ	ウマレ	u m a r e
生命	セイメイ	s e i m e i
生活	セイカツ	s e i k a ts u
生物	セイブツ	s e i b u ts u
産ん	ウン	u ng
甥	オイ	o i
田	タ	t a
田舎	イナカ	i n a k a
申請	シンセイ	sh i ng s e i
男	オトコ	o t o k o
町	マチ	m a ch i
画	エ	e
画面	ガメン	g a m e ng
留学	リュウガク	r y u long g a k u
疲れ	ツカレ	ts u k a r e
病気	ビョウキ	b y o long k i
病院	ビョウイン	b y o long i ng
痔	ジ	j i
痛い	イタイ	i t a i
癸	キ	k i
発展	ハッテン	h a q t e ng
発表	ハッピョウ	h a q p y o long
登る	ノボル	n o b o r u
登録	トウロク	t o long r o k u
的	テキ	t e k i
盗	ト	t o
監督	カントク	k a ng t o k u
盧	ノ	n o
目	メ	m e
目標	モクヒョウ	m o k u h y o long
目的	モクテキ	m o k u t e k i
直す	ナオス	n a o s u
直観	チョッカン	ch o q k a ng
相	アイ	a i
相互	ソウゴ	s o u g o
相手	アイテ	a i t e
相談	ソウダン	s o long d a ng
看	ミ	m i
県	ケン	k e ng
真に	シンニ	sh i ng n i
眠い	ネムイ	n e m u i
眺め	ナガメ	n a g a m e
眼科	ガンカ	g a ng k a
眼鏡	ガンキョウ	g a ng k y o long
着	キ	k i
着く	ツク	ts u k u
着る	キル	k i r u
瞬間	シュンカン	sh u ng k a ng
矛盾	ムジュン	m u j u ng
矢	ヤ	y a
知	シ	sh i
知ら	シラ	sh i r a
知れ	シレ	sh i r e
知識	チシキ	ch i sh i k i
研究	ケンキュウ	k e ng k y u long
砥	ト	t o
碁	ゴ	g o
碧	アオ	a o
確かめる	タシカメル	t a sh i k a m e r u
確認	カクニン	k a k u n i ng
磨	ス	s u
社	シャ	sh a
社長	シャチョウ	sh a ch o long
祖	ソ	s o
祝う	イワウ	i w a u
神奈川	カナガワ	k a n a g a w a
神社	ジンジャ	j i ng j a
禁止	キンシ	k i ng sh i
禍	カ	k a
福岡	フクオカ	f u k u o k a
福島	フクシマ	f u k u sh i m a
私	シ	sh i
科	カ	k a
科学	カガク	k a g a k u
秘	ヒ	h i
秘密	ヒミツ	h i m i ts u
移動	イドウ	i d o long
種	シュ	sh u
穂	ホ	h o
積もる	ツモル	ts u m o r u
穫	カ	k a
空	カラ	k a r a
空	クウ	k u long
空	ソラ	s o r a
空く	アク	a k u
空気	クウキ	k u u k i
空港	クウコウ	k u long k o long
窓	マド	m a d o
立つ	タツ	t a ts u
立て	ダテ	d a t e
立場	タチバ	t a ch i b a
立派	リッパ	r i q p a
笈	オイ	o i
笑う	ワラウ	w a r a u
笑ん	エン	e ng
笥	ケ	k e
符	フ	f u
等	ヒトシ	h i t o sh i
答え	コタエ	k o t a e
箕	ミ	m i
管理	カンリ	k a ng r i
箭	ヤ	y a
簀	ス	s u
簡単	カンタン	k a ng t a ng
簸	ヒ	h i
簾	ス	s u
簿	ボ	b o
粉	コ	k o
粟生	アオ	a o
精神	セイシン	s e i sh i ng
糶	セ	s e
約束	ヤクソク	y a k u s o k u
紅茶	コウチャ	k o long ch a
紅葉	コウヨウ	k o long y o long
紗	シャ	sh a
紙	カミ	k a m i
紙	シ	sh i
素	ソ	s o
紳士	シンシ	sh i ng sh i
終え	オエ	o e
終わっ	オワッ	o w a q
終わり	オワリ	o w a r i
終わる	オワル	o w a r u
終電	シュウデン	sh u long d e ng
組み立てる	クミタテル	k u m i t a t e r u
組む	クム	k u m u
経済	ケイザイ	k e i z a i
経験	ケイケン	k e i k e ng
結合	ケツゴウ	k e ts u g o u
結婚	ケッコン	k e q k o ng
結婚式	ケッコンシキ	k e q k o ng sh i k i
結局	ケッキョク	k e q k y o k u
結果	ケッカ	k e q k a
統一	トウイツ	t o u i ts u
絵	エ	e
絶対	ゼッタイ	z e q t a i
絽	ロ	r o
続け	ツヅケ	ts u z u k e
続ける	ツヅケル	ts u z u k e r u
綺麗	キレイ	k i r e i
緋	ヒ	h i
緑	ミドリ	m i d o r i
締め切り	シメキリ	sh i m e k i r i
練	ネ	n e
練習	レンシュウ	r e ng sh u long
繋がる	ツナガル	ts u n a g a r u
繋ぐ	ツナグ	ts u n a g u
織	オ	o
繪	エ	e
繰	ク	k u
纓	エイ	e i
署	ショ	sh o
羅	ラ	r a
美	ビ	b i
美しい	ウツクシイ	u ts u k u sh i i
美術館	ビジュツカン	b i j u ts u k a ng
群馬	グンマ	g u ng m a
義	ギ	g i
羽	ハ	h a
翁	オウ	o u
習慣	シュウカン	sh u u k a ng
老	オイ	o i
老い	オイ	o i
考え	カンガエ	k a ng g a e
考える	カンガエル	k a ng g a e r u
者	シャ	sh a
耳	ミミ	m i m i
聞く	キク	k i k u
聞こえ	キコエ	k i k o e
聴い	キイ	k i i
聴き	キキ	k i k i
聴く	キク	k i k u
肉	ニク	n i k u
股	コ	k o
肢	シ	sh i
胃	イ	i
背	セ	s e
胸	ムネ	m u n e
腑	フ	f u
腫	シュ	sh u
膿ん	ウン	u ng
臥	ガ	g a
自	ジ	j i
自分	ジブン	j i b u ng
自己	ジコ	j i k o
自由	ジユウ	j i y u u
自身	ジシン	j i sh i ng
自転車	ジテンシャ	j i t e ng sh a
興味	キョウミ	k y o long m i
舎	シャ	sh a
舳	ヘ	h e
良	イ	i
良い	イイ	i i
良ぅ	イゥ	i long
良う	イウ	i long
艾	アイ	a i
花	ハナ	h a n a
芽	メ	m e
苅	カ	k a
苑	エン	e ng
苦	ク	k u
苦労	クロウ	k u r o u
苧	オ	o
英語	エイゴ	e i g o
茨城	イバラキ	i b a r a k i
茶	チャ	ch a
茹でる	ユデル	y u d e r u
荷	ニ	n i
荷物	ニモツ	n i m o ts u
落とし	オトシ	o t o sh i
葉	ハ	h a
蒼	アオ	a o
薬	クスリ	k u s u r i
藍	アイ	a i
藺	イ	i
藻	モ	m o
蘇	ソ	s o
虫	チュウ	ch u long
蚊	カ	k a
蛾	ガ	g a
血	チ	ch i
行う	オコナウ	o k o n a u
行き	イキ	i k i
行く	イク	i k u
行く	ユク	y u k u
行っ	イッ	i q
行動	コウドウ	k o u d o u
行為	コウイ	k o u i
街	マチ	m a ch i
衣	イ	i
表情	ヒョウジョウ	h y o u j o u
表現	ヒョウゲン	h y o u g e ng
装置	ソウチ	s o long ch i
補	ホ	h o
裳	モ	m o
製作	セイサク	s e i s a k u
褻	ケ	k e
要	イ	i
要求	ヨウキュウ	y o u k y u u
要素	ヨウソ	y o u s o
覇	ハ	h a
見	ミ	m i
見せ	ミセ	m i s e
見つけ	ミツケ	m i ts u k e
見る	ミル	m i r u
見学	ケンガク	k e ng g a k u
見積	ミツモ	m i ts u m o
視	シ	sh i
覚え	オボエ	o b o e
観光	カンコウ	k a ng k o long
観察	カンサツ	k a ng s a ts u
解く	トク	t o k u
解決	カイケツ	k a i k e ts u
言い	イイ	i i
言う	イウ	i u
言え	イエ	i e
言お	イオ	i o
言っ	イッ	i q
言葉	コトバ	k o t o b a
言語	ゲンゴ	g e ng g o
訃	フ	f u
計画	ケイカク	k e i k a k u
計算	ケイサン	k e i s a ng
討っ	ウッ	u q
記	キ	k i
記録	キロク	k i r o k u
設計	セッケイ	s e q k e i
診	ミ	m i
詠	エイ	e i
試す	タメス	t a m e s u
試合	シアイ	sh i a i
試験	シケン	sh i k e ng
詩	シ	sh i
話	ハナシ	h a n a sh i
話し	ハナシ	h a n a sh i
話す	ハナス	h a n a s u
誌	シ	sh i
認め	ミトメ	m i t o m e
認識	ニンシキ	n i ng sh i k i
誕生	タンジョウ	t a ng j o u
語	カタ	k a t a
説明	セツメイ	s e ts u m e i
読み	ヨミ	y o m i
読む	ヨム	y o m u
読ん	ヨン	y o ng
読書	ドクショ	d o k u sh o
誰	タレ	t a r e
課	カ	k a
課長	カチョウ	k a ch o long
課題	カダイ	k a d a i
調べる	シラベル	sh i r a b e r u
調整	チョウセイ	ch o long s e i
論文	ロンブン	r o ng b u ng
論理	ロンリ	r o ng r i
諸	ショ	sh o
謂	イイ	i long
謂い	イイ	i i
謂う	イウ	i u
謂え	イエ	i e
謂お	イオ	i o
謂っ	イッ	i q
譜	フ	f u
議	ギ	g i
豆汁	ゴ	g o
豆油	ゴ	g o
負	フ	f u
負ける	マケル	m a k e r u
財布	サイフ	s a i f u
責任	セキニン	s e k i n i ng
貴	キ	k i
買い	カイ	k a i
買い物	カイモノ	k a i m o n o
買う	カウ	k a u
費	ヒ	h i
貼	ハ	h a
賀	カ	k a
資	シ	sh i
資料	シリョウ	sh i r y o long
賣	ウ	u
賣っ	ウッ	u q
賣ん	ウン	u ng
賦	フ	f u
質問	シツモン	sh i ts u m o ng
赤	アカ	a k a
赤い	アカイ	a k a i
赤ちゃん	アカチャン	a k a ch a ng
走っ	ハシッ	h a sh i q
走る	ハシル	h a sh i r u
起きる	オキル	o k i r u
超越	チョウエツ	ch o u e ts u
趣味	シュミ	sh u m i
路	ジ	j i
蹴	ケ	k e
蹶	ケ	k e
身	ミ	m i
身体	シンタイ	sh i ng t a i
車	クルマ	k u r u m a
載	ノ	n o
輻	ヤ	y a
返事	ヘンジ	h e ng j i
迷っ	マヨッ	m a y o q
退勤	タイキン	t a i k i ng
退院	タイイン	t a i i ng
送る	オクル	o k u r u
途	ト	t o
通う	カヨウ	k a y o u
通る	トオル	t o long r u
通勤	ツウキン	ts u long k i ng
逢う	アウ	a u
連絡	レンラク	r e ng r a k u
週末	シュウマツ	sh u long m a ts u
進ん	ススン	s u s u ng
進学	シンガク	sh i ng g a k u
逸	イッ	i q
遅れ	オクレ	o k u r e
遇っ	アッ	a q
遊び	アソビ	a s o b i
遊ぶ	アソブ	a s o b u
遊ん	アソン	a s o ng
運	ウン	u ng
運ぶ	ハコブ	h a k o b u
運動	ウンドウ	u ng d o long
運転	ウンテン	u ng t e ng
過	カ	k a
道	ドウ	d o long
道具	ドウグ	d o u g u
達成	タッセイ	t a q s e i
違い	チガイ	ch i g a i
違う	チガウ	ch i g a u
違っ	チガッ	ch i g a q
遣	ヤ	y a
適応	テキオウ	t e k i o u
遭い	アイ	a i
遭う	アウ	a u
遭え	アエ	a e
遭お	アオ	a o
遭っ	アッ	a q
選挙	センキョ	s e ng k y o
邑生	オウ	o long
部	ブ	b u
部下	ブカ	b u k a
部分	ブブン	b u b u ng
部屋	ヘヤ	h e y a
部長	ブチョウ	b u ch o long
都	ト	t o
配線	ハイセン	h a i s e ng
酢	ス	s u
醋	ス	s u
重要	ジュウヨウ	j u u y o u
野	ノ	n o
野球	ヤキュウ	y a k y u long
野菜	ヤサイ	y a s a i
量	リョウ	r y o u
金曜日	キンヨウビ	k i ng y o long b i
釣	ツ	ts u
釣る	ツル	ts u r u
銀行	ギンコウ	g i ng k o long
鋳	イ	i
鋳ん	イン	i ng
錬	ネ	n e
録音	ロクオン	r o k u o ng
鍵	カギ	k a g i
長い	ナガイ	n a g a i
長野	ナガノ	n a g a n o
閉じる	トジル	t o j i r u
閉める	シメル	sh i m e r u
開く	アク	a k u
開く	ヒラク	h i r a k u
開け	アケ	a k e
開ける	アケル	a k e r u
開ける	ヒラケル	h i r a k e r u
開発	カイハツ	k a i h a ts u
間に合う	マニアウ	m a n i a u
間違い	マチガイ	m a ch i g a i
関係	カンケイ	k a ng k e i
降っ	クダッ	k u d a q
降り	オリ	o r i
降りる	オリル	o r i r u
降る	クダル	k u d a r u
降る	フル	f u r u
限定	ゲンテイ	g e ng t e i
陛下	ヘイカ	h e i k a
院	イン	i ng
院生	インセイ	i ng s e i
除	ジョ	j o
陰	イン	i ng
階段	カイダン	k a i d a ng
隣	トナ	t o n a
雄	オ	o
集め	アツメ	a ts u m e
離れ	ハナレ	h a n a r e
難しい	ムズカシイ	m u z u k a sh i i
雨	アメ	a m e
雨	ウ	u
雪	ススギ	s u s u g i
雪	セツ	s e ts u
雪	ユキ	y u k i
雲	ウン	u ng
電池	デンチ	d e ng ch i
電源	デンゲン	d e ng g e ng
電話	デンワ	d e ng w a
電車	デンシャ	d e ng sh a
青	アオ	a o
青い	アオイ	a o i
青森	アオモリ	a o m o r i
静か	シズカ	sh i z u k a
非	ヒ	h i
非常	ヒジョウ	h i j o u
面白い	オモシロイ	o m o sh i r o i
面相	メンソウ	m e ng s o u
靴	クツ	k u ts u
鞄	カバン	k a b a ng
音声	オンセイ	o ng s e i
音楽	オンガク	o ng g a k u
韻	イン	i ng
頭	アタマ	a t a m a
風	カザ	k a z a
風呂	フロ	f u r o
風邪	カゼ	k a z e
飛ぶ	トブ	t o b u
飛行機	ヒコウキ	h i k o long k i
食べ	タベ	t a b e
食べる	タベル	t a b e r u
食事	ショクジ	sh o k u j i
食器	ショッキ	sh o q k i
食堂	ショクドウ	sh o k u d o long
食材	ショクザイ	sh o k u z a i
飢え	ウエ	u e
飯	イ	i
飯井	イイ	i i
飲	イン	i ng
飲み	ノミ	n o m i
飲む	ノム	n o m u
飽い	アイ	a i
餓え	ウエ	u e
餡	アン	a ng
首	クビ	k u b i
首都	シュト	sh u t o
香	カ	k a
馬	ウマ	u m a
駄	ダ	d a
駅	エキ	e k i
駆	カ	k a
駈	カ	k a
駟	シ	sh i
騎	キ	k i
高い	タカイ	t a k a i
高く	タカク	t a k a k u
高知	コウチ	k o u ch i
鬆	ス	s u
魅	ミ	m i
魏	ギ	g i
魔	マ	m a
魚	ウオ	u o
魚	ギョ	g y o
魚	サカナ	s a k a n a
鳥	トリ	t o r i
鳴	ナ	n a
鳴く	ナク	n a k u
鵜	ウ	u
鹿児島	カゴシマ	k a g o sh i m a
麸	フ	f u
黄	キ	k i
黒い	クロイ	k u r o i
黒板	コクバン	k o k u b a ng
鼓	コ	k o
アパート	アパート	a p a long t o
イベント	イベント	i b e ng t o
インストール	インストール	i ng s u t o long r u
エアコン	エアコン	e a k o ng
エスカレーター	エスカレーター	e s u k a r e long t a long
エレベーター	エレベーター	e r e b e long t a long
カーテン	カーテン	k a long t e ng
ゴルフ	ゴルフ	g o r u f u
サンダル	サンダル	s a ng d a r u
サーバー	サーバー	s a long b a long
ジャケット	ジャケット	j a k e q t o
スキー	スキー	s u k i long
スタート	スタート	s u t a long t o
ストップ	ストップ	s u t o q p u
スプーン	スプーン	s u p u long ng
セット	セット	s e q t o
ソフト	ソフト	s o f u t o
チェック	チェック	ch e q k u
チャレンジ	チャレンジ	ch a r e ng j i
ディスプレイ	ディスプレイ	d i s u p u r e i
デパート	デパート	d e p a long t o
トレーニング	トレーニング	t o r e long n i ng g u
ドラマ	ドラマ	d o r a m a
ニュース	ニュース	n y u long s u
ネットワーク	ネットワーク	n e q t o w a long k u
パーキング	パーキング	p a long k i ng g u
フォーク	フォーク	f o long k u
ブーツ	ブーツ	b u long ts u
プリント	プリント	p u r i ng t o
ボトル	ボトル	b o t o r u
マイク	マイク	m a i k u
マンション	マンション	m a ng sh o ng
ミルク	ミルク	m i r u k u
メモリ	メモリ	m e m o r i
ラジオ	ラジオ	r a j i o
リセット	リセット	r i s e q t o
ログアウト	ログアウト	r o g u a u t o
ログイン	ログイン	r o g u i ng
ロビー	ロビー	r o b i long
笑む	エム	e m u
綱	ツナ	ts u n a
藤	フジ	f u j i
膝	ヒザ	h i z a
陥	オチイ	o ch i i
齣	コマ	k o m a
糞	クソ	k u s o
姫	ヒメ	h i m e
里	サト	s a t o
謎	ナゾ	n a z o
臍	ヘソ	h e s o
捲	メク	m e k u
渠	ミゾ	m i z o
壷	ツボ	ts u b o
性	サガ	s a g a
粘	ネバ	n e b a
捻	ネジ	n e j i
徳	イサオ	i s a o
幣	ヌサ	n u s a
宮	ミヤ	m i y a
侘	ワビ	w a b i
継	ツギ	ts u g i
滑	スベ	s u b e
烟	ケブ	k e b u
鳧	ケリ	k e r i
惨	ムゴ	m u g o
廃	スタ	s u t a
仰	オッシャ	o q sh a
杵	キネ	k i n e
潮	ウシオ	u sh i o
責	セメ	s e m e
西	ニシ	n i sh i
鱧	ハモ	h a m o
嗽	ウガイ	u g a i
渋	シブ	sh i b u
鰤	ブリ	b u r i
刺	トゲ	t o g e
昇	ノボ	n o b o
頼	タヨ	t a y o
婆	ババ	b a b a
罅	ヒビ	h i b i
右脳	ウノウ	u n o u
二院	ニイン	n i i ng
孺子	ジュシ	j u sh i
二野	ニノ	n i n o
目名	メナ	m e n a
自衛	ジエイ	j i e i
目上	メウエ	m e u e
雨林	ウリン	u r i ng
右腕	ウワン	u w a ng
案ず	アンズ	a ng z u
下駄	ゲタ	g e t a
大場	オオバ	o o b a
五夜	ゴヤ	g o y a
已然	イゼン	i z e ng
雨尾	アマオ	a m a o
魚瀬	ウオセ	u o s e
魚津	ウオヅ	u o z u
雨声	ウセイ	u s e i
右辺	ウヘン	u h e ng
右近	ウコン	u k o ng
援助	エンジョ	e ng j o
上尾	アゲオ	a g e o
利他	リタ	r i t a
利そ	リソ	r i s o
笑顔	エガオ	e g a o
橢円	ダエン	d a e ng
詩夫	ウタオ	u t a o
上後	ウエゴ	u e g o
大奮	オフン	o f u ng
追手	オウテ	o u t e
五蘊	ゴウン	g o u ng
少雨	ショウウ	sh o u u
五部	ゴヘ	g o h e
印賀	インガ	i ng g a
大地	オオジ	o o j i
印譜	インプ	i ng p u
五黄	ゴオウ	g o o u
御地	オンチ	o ng ch i
印磁	インジ	i ng j i
揚ん	アガン	a g a ng
詠ぜ	エイゼ	e i z e
送っ	オクッ	o k u q
やぼ	ヤボ	y a b o
井揚	イアゲ	i a g e
上手	ウエデ	u e d e
貴女	キジョ	k i j o
恵方	エホウ	e h o u
泉尾	イズオ	i z u o
逃げ	ニゲ	n i g e
盲唖	モウア	m o u a
恵心	エシン	e sh i ng
利運	リウン	r i u ng
話者	ワシャ	w a sh a
尚恵	ナオエ	n a o e
話語	ワゴ	w a g o
蔵王	ザオウ	z a o u
鬼王	オニオ	o n i o
皓雄	アキオ	a k i o
訴因	ソイン	s o i ng
憂っ	ウレッ	u r e q
末雄	スエオ	s u e o
煙波	エンパ	e ng p a
揉め	モメ	m o m e
大呂	オオロ	o o r o
皇女	オウジョ	o u j o
雑魚	ザコ	z a k o
ちと	チト	ch i t o
布太	フダ	f u d a
事務	ジム	j i m u
競ろ	セロ	s e r o
鬱気	ウッキ	u q k i
鬱す	ウッス	u q s u
透っ	トオッ	t o o q
憎悪	ゾウオ	z o u o
浦江	ウラエ	u r a e
討手	ウッテ	u q t e
臭っ	ニオッ	n i o q
梅夫	ウメオ	u m e o
初演	ショエン	sh o e ng
初歩	ショホ	sh o h o
相合	アイオウ	a i o u
憩お	イコオ	i k o o
言張	イイハ	i i h a
法会	ホウエ	h o u e
大府	オオフ	o o f u
初手	ショテ	sh o t e
恩顧	オンコ	o ng k o
雲母	ウンモ	u ng m o
地縁	チエン	ch i e ng
消せ	ケセ	k e s e
い集	イシュウ	i sh u u
厭え	イトエ	i t o e
於大	オダイ	o d a i
雲通	ウズイ	u z u i
撫せ	ブセ	b u s e
悦夫	エツオ	e ts u o
栄寿	エイジュ	e i j u
辞ん	イナン	i n a ng
やじ	ヤジ	y a j i
逸せ	イッセ	i q s e
辞さ	ジサ	j i s a
雷雨	ライウ	r a i u
徐々	ジョジョ	j o j o
膳所	ゼゼ	z e z e
横臥	オウガ	o u g a
御末	オスエ	o s u e
小池	オイケ	o i k e
遊屋	ユヤ	y u y a
在位	ザイイ	z a i i
歌穂	カホ	k a h o
運座	ウンザ	u ng z a
大枝	オエダ	o e d a
運輸	ウンユ	u ng y u
悪寒	オカン	o k a ng
臼尾	ウスオ	u s u o
圧死	アッシ	a q sh i
大根	オオネ	o o n e
曇恵	ドンエ	d o ng e
仰ぐ	アオグ	a o g u
疎い	ウトイ	u t o i
驕ん	オゴン	o g o ng
土砂	ドシャ	d o sh a
削ぎ	ソギ	s o g i
焦っ	アセッ	a s e q
怪我	ケガ	k e g a
伊寧	イネイ	i n e i
撰ん	エラン	e r a ng
遠下	オンゲ	o ng g e
遠泳	エンエイ	e ng e i
授与	ジュヨ	j u y o
怨せ	エンセ	e ng s e
留守	ルス	r u s u
土合	ドアイ	d o a i
では	デハ	d e h a
霊位	レイイ	r e i i
ぜひ	ゼヒ	z e h i
英里	エイリ	e i r i
せわ	セワ	s e w a
遮音	シャオン	sh a o ng
無韻	ムイン	m u i ng
画素	ガソ	g a s o
遺品	イヒン	i h i ng
避暑	ヒショ	h i sh o
茂庵	モアン	m o a ng
小夫	オウブ	o u b u
久所	グゾ	g u z o
諳記	アンキ	a ng k i
ずれ	ズレ	z u r e
如意	ニョイ	n y o i
急い	イソイ	i s o i
守株	シュシュ	sh u sh u
義母	ギボ	g i b o
一過	イッカ	i q k a
郡家	グゲ	g u g e
由縁	ユエン	y u e ng
江越	エゴエ	e g o e
軍医	グンイ	g u ng i
へぎ	ヘギ	h e g i
下び	ゲビ	g e b i
暗雲	アンウン	a ng u ng
茶々	チャチャ	ch a ch a
由乃	ユノ	y u n o
へず	ヘズ	h e z u
図譜	ズフ	z u f u
首座	シュザ	sh u z a
露営	ロエイ	r o e i
図書	ズショ	z u sh o
露坐	ロザ	r o z a
諸田	ショダ	sh o d a
燻っ	イブッ	i b u q
車夫	シャフ	sh a f u
家々	イエイエ	i e i e
べべ	ベベ	b e b e
べら	ベラ	b e r a
ぺけ	ペケ	p e k e
余所	ヨショ	y o sh o
茶所	チャジョ	ch a j o
余瀬	ヨゼ	y o z e
舎営	シャエイ	sh a e i
