<sil>	SIL	sil
詩	シ	sh i
ソ	ソ	s o
員	イン	i ng
助	ジョ	j o
巣	ス	s u
弧	コ	k o
箕	ミ	m i
補	ホ	h o
背	セ	s e
裳	モ	m o
差	サ	s a
栄	エイ	e i
砥	ト	t o
呼	コ	k o
飲	イン	i ng
呷	アオ	a o
津	ツ	ts u
舎	シャ	sh a
吽	ウン	u ng
詠	エイ	e i
釣	ツ	ts u
化	カ	k a
レ	レ	r e
緋	ヒ	h i
揺	ユ	y u
巳	ミ	m i
め	メ	m e
訃	フ	f u
褻	ケ	k e
符	フ	f u
笥	ケ	k e
秘	ヒ	h i
青	アオ	a o
ひ	ヒ	h i
名	ナ	n a
ご	ゴ	g o
野	ノ	n o
吊	ツ	ts u
デ	デ	d e
師	シ	sh i
区	ク	k u
盧	ノ	n o
鳴	ナ	n a
み	ミ	m i
庵	アン	a ng
是	ゼ	z e
私	シ	sh i
ふ	フ	f u
笈	オイ	o i
騎	キ	k i
座	ザ	z a
パ	パ	p a
杼	ヒ	h i
府	フ	f u
序	ジョ	j o
ぶ	ブ	b u
視	シ	sh i
自	ジ	j i
卦	ケ	k e
旗	キ	k i
目	メ	m e
干	ヒ	h i
架	カ	k a
腑	フ	f u
印	イン	i ng
ノ	ノ	n o
ネ	ネ	n e
臥	ガ	g a
べ	ベ	b e
去	サ	s a
ほ	ホ	h o
腫	シュ	sh u
駈	カ	k a
反	ソ	s o
取	ト	t o
ナ	ナ	n a
覇	ハ	h a
ぼ	ボ	b o
科	カ	k a
史	シ	sh i
ド	ド	d o
ぽ	ポ	p o
除	ジョ	j o
時	ジ	j i
叙	ジョ	j o
可	カ	k a
句	ク	k u
駟	シ	sh i
ま	マ	m a
あえ	アエ	a e
撃っ	ウッ	u q
膿ん	ウン	u ng
えん	エン	e ng
厭い	アイ	a i
飢え	ウエ	u e
卯尾	ウオ	u o
合い	アイ	a i
飯井	イイ	i i
言い	イイ	i i
逢う	アウ	a u
えッ	エッ	e q
えー	エー	e long
えっ	エッ	e q
賣っ	ウッ	u q
熬ん	イン	i ng
おい	オイ	o i
合え	アエ	a e
合お	アオ	a o
言う	イウ	i u
言え	イエ	i e
合っ	アッ	a q
笑ん	エン	e ng
熬っ	イッ	i q
言お	イオ	i o
ファ	ファ	f a
井伊	イイ	i i
あん	アン	a ng
言っ	イッ	i q
フェ	フェ	f e
熟ん	ウン	u ng
ええ	エエ	e long
井尾	イオ	i o
邑生	オウ	o long
遭っ	アッ	a q
遭お	アオ	a o
えい	エイ	e i
井生	イウ	i u
遭え	アエ	a e
遭う	アウ	a u
遭い	アイ	a i
和え	アエ	a e
うん	ウン	u ng
於い	オイ	o i
唖々	アア	a a
いん	イン	i ng
おう	オウ	o u
唯々	イイ	i i
彫っ	エッ	e q
彫ん	エン	e ng
唯唯	イイ	i i
あゝ	アア	a long
あッ	アッ	a q
あー	アー	a long
おえ	オエ	o e
煎ん	イン	i ng
おぉ	オォ	o long
煎っ	イッ	i q
おお	オオ	o o
往ん	イン	i ng
嗚呼	アア	a long
ジャ	ジャ	j a
江井	エイ	e i
飽い	アイ	a i
討っ	ウッ	u q
鋳ん	イン	i ng
浮い	ウイ	u i
うい	ウイ	u i
得ん	エン	e ng
いっ	イッ	i q
うぅ	ウゥ	u long
忌ん	イン	i ng
終え	オエ	o e
良い	イイ	i i
良ぅ	イゥ	i long
謂い	イイ	i i
良う	イウ	i long
おん	オン	o ng
海布	メ	m e
賣ん	ウン	u ng
粟生	アオ	a o
謂う	イウ	i u
謂え	イエ	i e
謂お	イオ	i o
謂っ	イッ	i q
餓え	ウエ	u e
入ん	イン	i ng
うう	ウウ	u long
ヱイ	ヱイ	e i
うえ	ウエ	u e
行っ	イッ	i q
老い	オイ	o i
豆汁	ゴ	g o
豆油	ゴ	g o
在っ	アッ	a q
遇っ	アッ	a q
産ん	ウン	u ng
在ん	アン	a ng
